address,latitude,longitude,name,number,street1,street2,cluster1,cluster2,cluster
Bridge St / Wickham St,-27.454746,153.036154,57 - BRIDGE ST / WICKHAM ST,57,Bridge St,Wickham St,8.0,2.0,2.0
East St / Ann St,-27.455472,153.037775,58 - EAST ST / ANN ST,58,East St,Ann St,8.0,6.0,23.0
James St / McLachlan St,-27.456276,153.039196,59 - JAMES ST / MCLACHLAN ST,59,James St,McLachlan St,17.0,15.0,15.0
Wickham St / Brookes St,-27.453127,153.037559,60 - WICKHAM STREET / BROOKES STREET,60,Wickham St,Brookes St,2.0,8.0,5.0
Wickham St / Murri Way,-27.451793,153.039562,61 - WICKHAM ST / MURRI WAY,61,Wickham St,Murri Way,2.0,8.0,5.0
Ann St / Chester St,-27.453195,153.0401,62 - ANN ST / CHESTER ST,62,Ann St,Chester St,6.0,8.0,5.0
Ann St / Murri Way,-27.452468,153.040565,63 - ANN ST / MURRI WAY,63,Ann St,Murri Way,6.0,8.0,11.0
Skyring Tce / Cunningham St,-27.44979,153.044925,64 - SKYRING TCE / CUNNINGHAM ST,64,Skyring Tce,Cunningham St,8.0,8.0,21.0
Chermside St / Commercial Rd,-27.454482,153.046802,65 - CHERMSIDE ST / COMMERCIAL RD,65,Chermside St,Commercial Rd,8.0,20.0,5.0
Commercial Rd / Skyring Tce,-27.45296,153.048107,66 - COMMERCIAL RD / SKYRING TCE,66,Commercial Rd,Skyring Tce,20.0,8.0,5.0
Commercial Rd / Teneriffe Ferry Terminal,-27.452027,153.04911,67 - COMMERCIAL RD / TENERIFFE FERRY TERMINAL,67,Commercial Rd,Teneriffe Ferry Terminal,20.0,8.0,5.0
Vernon Tce / Ethel St,-27.454394,153.049519,68 - VERNON TCE / ETHEL ST,68,Vernon Tce,Ethel St,8.0,8.0,18.0
Vernon Tce / Florence St,-27.455907,153.050013,69 - VERNON TCE / FLORENCE ST,69,Vernon Tce,Florence St,8.0,8.0,5.0
Macquarie St / Beeston St,-27.459091,153.050239,70 - MACQUARIE ST / BEESTON ST,70,Macquarie St,Beeston St,8.0,8.0,5.0
